"Navigation Issues (beta) - These are potential issues with internal links, external links, and footnotes. We recommend that you verify these using the Kindle Previewer user interface, and address them to improve reading experience."
"Type","Category","Description","Location","Recommended Fix"
"Navigation","Invalid External Link","Your book has an external link that does not work: git clone https://github.com/dullhunk/cdyf.git","228","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: John H. Tallis","361","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: Steven Bradley","407","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: Jim Paterson","426","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: @amanrana1","819","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://","1321","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: w.wiki/3a6V","4723","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://doi.org/10.1002/9783527687039.ch03","6630","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://www.worldcat.org/oclc/1242001541","6638","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: Cockburn, Michael. 2022. “CEO Secrets: ’Make Decisions as If You Were on Your Deathbed’.” urlhttps://bbc.in/3dDivtt.","6651","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://doi.org/10.1177/1048371316667160","6683","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://doi.org/10.1073/pnas.1821936116","6687","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://www.investorsinpeople.com/wp-content/uploads/2019/10/We-invest-in-people-framework.pdf","6824","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://www.worldcat.org/oclc/156380308","6861","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://doi.org/10.1111/j.1469-8137.1995.tb03089.x","6973","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://doi.org/10.1126/science.caredit.a1300256","7015","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
"Navigation","Invalid External Link","Your book has an external link that does not work: https://doi.org/10.1002/9783527687039.ch05","7085","Please update a valid external URL. To learn more, see section ""External Link Guidelines"" in Kindle Publishing Guidelines,  or refer to the eBook Manuscript Formatting Guide on Amazon KDP if your book is in Microsoft Word format"
