handle,fullname,link
caroleannegoble,Carole Goble,https://twitter.com/caroleannegoble
embury,Suzanne Embury,http://www.cs.man.ac.uk/~embury/
gareth-henshall,Gareth Henshall,https://uk.linkedin.com/in/gareth-henshall
pwnutter,Paul Nutter,http://www.cs.man.ac.uk/~pwnutter/
robert.stevens,Robert Stevens,https://www.research.manchester.ac.uk/portal/robert.stevens.html
sattler,Uli Sattler,http://www.cs.man.ac.uk/~sattler/
schalk,Andrea Schalk,http://www.cs.man.ac.uk/~schalk/
seanbechhofer,Sean Bechhofer,https://twitter.com/seanbechhofer
srp,Steve Pettifer,https://twitter.com/srp
Steve_Furber,Steve Furber,https://en.wikipedia.org/wiki/Steve_Furber
stewart.blakeway,Stewart Blakeway,https://www.research.manchester.ac.uk/portal/stewart.blakeway.html
tmorris,Tim Morris,http://www.cs.man.ac.uk/~tmorris/
tobyhoward,Toby Howard,https://twitter.com/tobyhoward
,Alex Walker,
