handle,fullname,link
adapapy,Adela Mihăilă,https://github.com/adapapy
alexandradumitriu1,Alexandra Dumtriu,https://www.linkedin.com/in/alexandradumitriu1
alexdmtr,Alex Dumitru ,https://www.linkedin.com/in/alexdmtr/
amirmaula,Amir Maula,https://github.com/amirmaula
andra-popa-uom,Andra Popa,https://www.linkedin.com/in/andra-popa-uom/
andreimuntean,Andrei Muntean,https://github.com/andreimuntean
beamster,Luke Beamish,https://github.com/Beamister
benpossible,Ben Possible,https://twitter.com/benpossible
boris-vasilev,Boris Vasilev,https://github.com/boris-vasilev
bryn,Bryn Hanby-Roberts,http://bryn.co.uk/cv.pdf
crisbodnar,Cristian Bodnar,https://crisbodnar.github.io/
danielma82,Daniel Ma,https://github.com/danielma82
dj-foxxy,Peter Sutton,https://github.com/dj-foxxy
eldog,Lloyd Henning,https://github.com/eldog
erika-angell,Erika Angell,https://uk.linkedin.com/in/erika-angell
ezeethg,,https://github.com/ezeethg
fionalcampbell,Fiona Campbell,https://www.linkedin.com/in/fionalcampbell/
fireeater64,George Vanburgh,https://github.com/FireEater64
george-chiriluta,George Chiriluta,https://www.linkedin.com/in/george-chiriluta/
gurneetbhatia,Gurneet Bhatia,https://github.com/gurneetbhatia
IgWod,Igor Wodiany,https://github.com/IgWod
javier-pachecorodriguez,Javier Pacheco Rodriguez,https://www.linkedin.com/in/javier-pachecorodriguez
joseph-allen,Joseph Allen,https://github.com/joseph-allen
Joshua-Langley,Joshua Langley,https://devpost.com/JoshuaLangley
katieisnell,Katie Snell,https://www.linkedin.com/in/katieisnell/
mariosyian,Marios Yiannakou,https://github.com/Mariosyian
martinacat,Martina Catizone,https://github.com/martinacat
matthew_gamble,Matthew Gamble,https://twitter.com/matthew_gamble
mihaibujanca,Horia-Mihai Bujanca,https://github.com/mihaibujanca
mossblaser,Jonathan Heathcote,https://github.com/mossblaser
nwpark,Nick Park,https://github.com/nwpark/
oreste-wolcsics,Oreste Wolcsics ,https://www.linkedin.com/in/oreste-wolcsics
petia-davidova,Petia Davidova,https://github.com/petia-davidova
ralucacru,Raluca Cruceru,https://twitter.com/ralucacru
rifadlafir,Rifad Lafir,https://www.linkedin.com/in/rifadlafir
rlazarescu,Raluca Lazarescu ,https://www.linkedin.com/in/rlazarescu/
sam-littlefair,Sam Littlefair,https://github.com/sam-littlefair
samialabed,Sami Alabed,https://github.com/samialabed
smararu,Sebastian Mararu ,https://devpost.com/smararu
stefan-stroe,Stefan Stroe,https://www.linkedin.com/in/stefan-stroe/
stsvetankov,Simeon Tsvetankov,https://www.linkedin.com/in/stsvetankov
suvi1301,Suvineet Singh,https://www.linkedin.com/in/suvi1301/
swsmile,Wei Shi,https://github.com/swsmile
teodorabalmos,Teodora Balmos,https://www.linkedin.com/in/teodorabalmos
teostoleru,Teodora Stoleru,https://github.com/teostoleru
tlater,Tristan Maat,https://github.com/tlater
Todd-Davies,Todd Davies,https://github.com/Todd-Davies
VirtualVirtuoso,Struan McDonough,https://github.com/VirtualVirtuoso
zachamid ,Zac Hamid,https://www.linkedin.com/in/zachamid/
