employer,link,postcode,employed
Accenture,https://www.accenture.com,,1
Adobe,https://www.adobe.com,,1
Agilent Technologies,https://www.agilent.com/,,1
Agilisys,https://www.agilisys.co.uk/,,1
Airbus,https://www.airbus.com,,1
AJ Bell,https://www.ajbell.co.uk/,M5 3EE,0
Alphabet Inc. (Google),https://abc.xyz,,1
Amadeus,https://amadeus.com/,,1
Amazon Web Services,https://aws.amazon.com/,,1
AMD,https://www.amd.com/,,1
Ampersand Commerce,https://ampersandcommerce.com/,,1
AND Digital,https://and.digital,,1
Apadmi,https://www.apadmi.com,,1
Apple Inc,https://www.apple.com,,1
Arggo,https://arggo.consulting/,,1
ARM,https://www.arm.com/,,1
AstraZeneca,https://www.astrazeneca.co.uk/,,1
Autodesk,https://www.autodesk.co.uk/,,1
Autonomy,http://www.autonomy.com ,,1
Autotrader,https://www.autotrader.co.uk/,,1
Auvation,http://www.auvation.com/,,1
AVL Powertrain,https://www.avl.com/,,1
Axell Wireless,http://axellwireless.com/,,1
BAE Systems,https://www.baesystems.com/,,1
Bank of America Meryll Lynch (BAML),https://www.bofaml.com/,,1
Barclays,https://www.barclays.co.uk/,,1
BBC,https://www.bbc.com,,1
Bentley Systems,https://www.bentley.com/,,1
Bet365,https://www.bet365.com/,,1
Beyond Trust (formerly Avecto),https://www.beyondtrust.com/,,1
Bing,https://www.bing.com/,,1
Biorelate,https://www.biorelate.com/,,1
BJSS,https://www.bjss.com/,,1
Blackrock,https://www.blackrock.com/,,1
Blaize,https://www.blaize.com/,,1
Bloomberg,https://www.bloomberg.com/,,1
BMW Mini,https://www.mini.co.uk/,,1
Booking.com,https://www.booking.com/,,1
Bosch,https://www.bosch.com/,,1
BP,https://www.bp.com/,,1
Brightec,https://www.brightec.co.uk/,,1
British Energy,https://en.wikipedia.org/wiki/British_Energy,,1
Broadcom,https://www.broadcom.com/,,1
Bsquare Controls,https://www.b2controls.co.uk/,,1
BT,https://www.bt.com/,,1
