Department, Type, Class
"EES", EESStudent1, student
"Materials", MaterialsStudent1, student 
"Materials", MaterialsStudent2, student  
"Materials", MaterialsStudent3, student  
"Materials", MaterialsStudent4, student  
"Materials", MaterialsStudent5, student  
"Physics", Studentp1, student 
"Physics", Studentp2, student 
"Physics", Studentp3, student 
"Physics", Studentp4, student 
"Physics", Studentp5, student 
"Physics", Studentp6, student 
"Physics", Studentp7, student 
"Maths", MathsStudent1, student
"Maths", MathsStudent2, student
"Maths", MathsStudent3, student
"Maths", MathsStudent4, student
"Maths", MathsStudent5, student
"Maths", MathsStudent6, student
"Maths", MathsStudent7, student
"Maths", MathsStudent9, student
"Maths", MathsStudent10, student
"ChemEng", CEStudent1, student
"ChemEng", CEStudent2, student
"ChemEng", CEStudent3, student
"ChemEng", CEStudent4, student
"ChemEng", CEStudent5, student
"ChemEng", CEStudent6, student
"ChemEng", CEStudent7, student
"ChemEng", CEStudent8, student
"ChemEng", CEStudent9, student
"ChemEng", CEStudent10, student
"ChemEng", CEStudent11, student
"ChemEng", CEStudent12, student
"ChemEng", CEStudent13, student
"ChemEng", CEStudent14, student
"ChemEng", CEStudent15, student
"ChemEng", CEStudent16, student
"Chemistry", ChemStudent1, student
"Chemistry", ChemStudent2, student
"Chemistry", ChemStudent3, student
"Chemistry", ChemStudent4, student
"Chemistry", ChemStudent5, student
"Chemistry", ChemStudent6, student
"Chemistry", ChemStudent7, student
"Chemistry", ChemStudent8, student
"Chemistry", ChemStudent9, student
"Chemistry", ChemStudent10, student
"Chemistry", ChemStudent11, student
"Chemistry", Chemtudent12, student
"Chemistry", Chemtudent13, student
"Chemistry", ChemStudent14, student
"Chemistry", ChemStudent15, student
"Chemistry", ChemStudent16, student
"EEE",EEEStudent1, student
"EEE",EEEStudent2, student
"EEE",EEEStudent3, student
"EEE",EEEStudent4, student
"EEE",EEEStudent5, student
"EEE",EEEStudent6, student
"EEE",EEEStudent7, student
"EEE",EEEStudent8, student
"EEE",EEEStudent9, student
"EEE",EEEStudent10, student
"EEE",EEEStudent11, student
"EEE",EEEStudent12, student
"EEE",EEEStudent13, student
"EEE",EEEStudent14, student
"EEE",EEEStudent15, student
"EEE",EEEStudent16, student
"EEE",EEEStudent17, student
"EEE",EEEStudent18, student
"EEE",EEEStudent19, student
"EEE",EEEStudent20, student
"EEE",EEEStudent21, student
"EEE",EEEStudent22, student
"EEE",EEEStudent23, student
"MACE",MACEStudent1, student
"MACE",MACEStudent2, student
"MACE",MACEStudent3, student
"MACE",MACEStudent4, student
"MACE",MACEStudent5, student
"MACE",MACEStudent6, student
"MACE",MACEStudent7, student
"MACE",MACEStudent8, student
"MACE",MACEStudent9, student
